"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-124.02","54.03","VANDERHOOF","1098D90","2007-01-01","2007","01","01","","6.0","","-6.0","","0.0","","18.0","","0.0","","0.0","T","0.0","T","0.0","T","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2007-01-02","2007","01","02","","8.0","","-3.0","","2.5","","15.5","","0.0","","0.4","","0.0","","0.4","","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2007-01-03","2007","01","03","","2.0","","-5.0","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2007-01-04","2007","01","04","","0.5","","-8.0","","-3.8","","21.8","","0.0","","0.0","","3.2","","3.2","","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2007-01-05","2007","01","05","","1.0","","-5.0","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2007-01-06","2007","01","06","","","M","-4.0","","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2007-01-07","2007","01","07","","6.0","","-1.0","","2.5","","15.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2007-01-08","2007","01","08","","-4.0","","-9.0","","-6.5","","24.5","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2007-01-09","2007","01","09","","-5.0","","","Y","","","","","","","0.0","","1.2","","1.2","","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2007-01-10","2007","01","10","","-19.0","","-22.0","","-20.5","","38.5","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2007-01-11","2007","01","11","","-18.5","","-31.5","","-25.0","","43.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2007-01-12","2007","01","12","","-16.0","","-23.0","","-19.5","","37.5","","0.0","","0.0","","4.0","","4.0","","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2007-01-13","2007","01","13","","-12.0","","-20.0","","-16.0","","34.0","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2007-01-14","2007","01","14","","-3.0","","-15.0","","-9.0","","27.0","","0.0","","0.0","","1.0","","1.0","","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2007-01-15","2007","01","15","","-3.0","","-10.0","","-6.5","","24.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2007-01-16","2007","01","16","","-5.0","","-12.0","","-8.5","","26.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2007-01-17","2007","01","17","","-5.5","","-9.5","","-7.5","","25.5","","0.0","","0.0","","1.0","","1.0","","","","","","",""
