"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-01-01","2010","01","01","†","-9.5","","-14.0","","-11.8","","29.8","","0.0","","0.0","","4.0","","4.0","","35","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-01-02","2010","01","02","†","-7.5","","-13.0","","-10.3","","28.3","","0.0","","0.0","","5.0","","5.0","","35","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-01-03","2010","01","03","†","-9.5","","-17.0","","-13.3","","31.3","","0.0","","0.0","","1.8","","1.8","","40","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-01-04","2010","01","04","†","-13.0","","-16.0","","-14.5","","32.5","","0.0","","0.0","","0.2","","0.2","","42","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-01-05","2010","01","05","†","-18.0","","-29.0","","-23.5","","41.5","","0.0","","0.0","","0.0","","0.0","","42","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-01-06","2010","01","06","†","-17.0","","-29.0","","-23.0","","41.0","","0.0","","0.0","","0.0","","0.0","","40","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-01-07","2010","01","07","†","-8.5","","-23.0","","-15.8","","33.8","","0.0","","0.0","","0.0","T","0.0","T","38","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-01-08","2010","01","08","†","2.5","","-15.5","","-6.5","","24.5","","0.0","","0.0","","1.8","","1.8","","0","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-01-09","2010","01","09","†","5.5","","-8.5","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-01-10","2010","01","10","†","9.0","","1.5","","5.3","","12.7","","0.0","","0.0","","0.0","","0.0","","34","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-01-11","2010","01","11","†","9.5","","4.5","","7.0","","11.0","","0.0","","3.6","","0.0","","3.6","","19","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-01-12","2010","01","12","†","9.5","","2.0","","5.8","","12.2","","0.0","","0.0","","0.0","","0.0","","14","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-01-13","2010","01","13","†","8.0","","-2.0","","3.0","","15.0","","0.0","","0.6","","0.0","","0.6","","11","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-01-14","2010","01","14","†","7.0","","-2.5","","2.3","","15.7","","0.0","","1.6","","0.0","","1.6","","10","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-01-15","2010","01","15","†","2.5","","0.5","","1.5","","16.5","","0.0","","2.0","","2.4","","4.4","","7","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-01-16","2010","01","16","†","2.5","","-5.0","","-1.3","","19.3","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-01-17","2010","01","17","†","7.0","","-6.0","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-01-18","2010","01","18","†","8.5","","-2.5","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-01-19","2010","01","19","†","5.0","","-3.0","","1.0","","17.0","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-01-20","2010","01","20","†","2.5","","-4.0","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-01-21","2010","01","21","†","1.5","","-6.5","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-01-22","2010","01","22","†","0.5","","-4.0","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-01-23","2010","01","23","†","-0.5","","-11.0","","-5.8","","23.8","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-01-24","2010","01","24","†","-4.5","","-14.0","","-9.3","","27.3","","0.0","","0.0","","4.0","","4.0","","5","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-01-25","2010","01","25","†","-3.5","","-7.0","","-5.3","","23.3","","0.0","","0.0","","1.0","","1.0","","8","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-01-26","2010","01","26","†","-3.0","","-7.0","","-5.0","","23.0","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-01-27","2010","01","27","†","-1.0","","-5.5","","-3.3","","21.3","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-01-28","2010","01","28","†","1.0","","-7.5","","-3.3","","21.3","","0.0","","0.0","","0.0","T","0.0","T","8","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-01-29","2010","01","29","†","4.5","","-0.5","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-01-30","2010","01","30","†","0.0","","-1.0","","-0.5","","18.5","","0.0","","0.0","","8.8","","8.8","","8","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-01-31","2010","01","31","†","-2.0","","-5.5","","-3.8","","21.8","","0.0","","0.0","","0.4","","0.4","","15","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-02-01","2010","02","01","†","0.0","","-3.0","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-02-02","2010","02","02","","","","","","","","","","","","","","","","","","","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-02-03","2010","02","03","","","","","","","","","","","","","","","","","","","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-02-04","2010","02","04","†","3.0","","-1.5","","0.8","","17.2","","0.0","","0.0","","0.0","","0.0","","15","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-02-05","2010","02","05","†","3.5","","-3.5","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","14","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-02-06","2010","02","06","†","3.5","","-4.5","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-02-07","2010","02","07","†","0.5","","-6.0","","-2.8","","20.8","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-02-08","2010","02","08","†","-1.5","","-6.0","","-3.8","","21.8","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-02-09","2010","02","09","†","0.5","","-5.0","","-2.3","","20.3","","0.0","","0.0","","1.4","","1.4","","13","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-02-10","2010","02","10","†","2.5","","-3.5","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-02-11","2010","02","11","†","2.0","","-5.5","","-1.8","","19.8","","0.0","","0.2","","0.2","","0.4","","13","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-02-12","2010","02","12","†","9.0","","-2.5","","3.3","","14.7","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-02-13","2010","02","13","†","10.0","","-4.5","","2.8","","15.2","","0.0","","0.6","","0.0","","0.6","","12","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-02-14","2010","02","14","†","6.5","","3.0","","4.8","","13.2","","0.0","","4.0","","0.0","","4.0","","10","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-02-15","2010","02","15","†","0.5","","-2.5","","-1.0","","19.0","","0.0","","0.0","","3.8","","3.8","","8","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-02-16","2010","02","16","†","3.0","","-1.5","","0.8","","17.2","","0.0","","6.6","","0.0","","6.6","","11","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-02-17","2010","02","17","†","4.0","","-5.5","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-02-18","2010","02","18","†","0.0","","-3.0","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-02-19","2010","02","19","†","-2.5","","-3.5","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-02-20","2010","02","20","†","-2.5","","-3.5","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-02-21","2010","02","21","†","-2.0","","-4.0","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-02-22","2010","02","22","†","-1.5","","-3.5","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-02-23","2010","02","23","†","2.0","","-5.0","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-02-24","2010","02","24","†","5.5","","-5.5","","0.0","","18.0","","0.0","","0.0","","1.0","","1.0","","6","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-02-25","2010","02","25","†","6.5","","-1.5","","2.5","","15.5","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-02-26","2010","02","26","†","3.0","","-4.0","","-0.5","","18.5","","0.0","","2.6","","0.0","T","2.6","","5","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-02-27","2010","02","27","†","4.5","","-2.0","","1.3","","16.7","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-02-28","2010","02","28","†","8.0","","1.0","","4.5","","13.5","","0.0","","0.0","","0.0","","0.0","","4","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-03-01","2010","03","01","†","10.0","","1.0","","5.5","","12.5","","0.0","","0.0","","0.0","","0.0","","3","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-03-02","2010","03","02","†","10.0","","3.5","","6.8","","11.2","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-03-03","2010","03","03","†","11.0","","-0.5","","5.3","","12.7","","0.0","","0.0","","0.0","","0.0","","1","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-03-04","2010","03","04","†","9.0","","-6.0","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","1","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-03-05","2010","03","05","†","11.0","","-2.0","","4.5","","13.5","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-03-06","2010","03","06","†","11.0","","-4.0","","3.5","","14.5","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-03-07","2010","03","07","†","4.5","","-3.0","","0.8","","17.2","","0.0","","1.0","","0.0","","1.0","","0","T","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-03-08","2010","03","08","†","2.5","","-7.0","","-2.3","","20.3","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-03-09","2010","03","09","†","4.5","","-9.5","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-03-10","2010","03","10","†","6.5","","-2.5","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-03-11","2010","03","11","†","8.0","","2.5","","5.3","","12.7","","0.0","","0.0","T","0.0","T","0.0","T","0","T","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","2010-03-12","2010","03","12","†","3.5","","-5.0","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
