"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*PRINCE GEORGE STP","BC"," 53°52'48.000"" N","122°46'03.000"" W","579.0 m","1096468","",""
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","-6.7","-3.7","0.8","5.9","10.9","14.6","16.6","16.0","11.2","5.4","-1.5","-5.8","5.3","A"
"Standard Deviation","4.5","3.7","2.3","1.2","1.7","1.4","1.0","1.1","1.5","1.2","3.5","4.1","1.9","A"
"Daily Maximum (°C)","-2.9","0.8","6.3","12.3","17.6","20.9","23.1","22.7","17.3","10.0","1.8","-2.3","10.6","A"
"Daily Minimum (°C)","-10.5","-8.1","-4.8","-0.5","4.2","8.2","10.0","9.1","5.0","0.7","-4.8","-9.3","-0.1","A"
"Extreme Maximum (°C)","14.5","14.0","19.0","31.7","37.5","32.5","35.0","34.0","33.0","26.0","17.0","12.0","",""
"Date (yyyy/dd)","1981/22","1986/27","1994/30","1977/25","1983/29","1992/26","2006/22","1981/09","1988/04","1987/01","1981/11","1980/15",""," "
"Extreme Minimum (°C)","-42.0","-36.5","-31.7","-13.0","-5.0","0.0","1.0","-1.5","-7.5","-25.5","-36.0","-43.0","",""
"Date (yyyy/dd)","1991/07","1979/14","1976/02","2002/02","2002/07","1976/05","1979/01","1992/23","1984/25","1984/31","1985/27","1984/30",""," "
"Precipitation"
"Rainfall (mm)","11.6","8.6","15.6","30.3","42.2","61.3","58.9","45.9","53.6","56.0","24.8","7.3","416.1","A"
"Snowfall (cm)","42.7","20.5","11.8","2.5","0.3","0.0","0.0","0.0","0.1","4.5","22.8","36.9","142.0","A"
"Precipitation (mm)","54.4","29.0","27.4","32.8","42.4","61.3","58.9","45.9","53.7","60.5","47.7","44.1","558.1","A"
"Average Snow Depth (cm)","23","20","13","2","0","0","0","0","0","0","4","11","6","C"
"Median Snow Depth (cm)","23","19","13","2","0","0","0","0","0","0","4","10","6","C"
"Snow Depth at Month-end (cm)","23","17","4","0","0","0","0","0","0","0","7","18","6","C"
"Extreme Daily Rainfall (mm)","18.3","12.0","13.0","18.2","18.0","36.0","29.6","38.2","37.0","28.4","21.0","24.4","",""
"Date (yyyy/dd)","1977/16","1981/16","1986/07","1992/16","1979/03","1993/01","1984/04","1980/26","1982/08","1984/07","1993/01","1976/15",""," "
"Extreme Daily Snowfall (cm)","23.4","27.0","13.4","10.0","1.6","0.0","0.0","0.0","1.0","12.0","21.8","32.0","",""
"Date (yyyy/dd)","1994/16","1979/08","2003/09","2002/14","2003/04","1976/01","1976/01","1976/01","1992/15","1992/13","1975/25","1990/29",""," "
"Extreme Daily Precipitation (mm)","29.5","27.0","16.6","18.2","18.0","36.0","29.6","38.2","37.0","28.4","24.0","32.0","",""
"Date (yyyy/dd)","1977/16","1979/08","1986/07","1992/16","1979/03","1993/01","1984/04","1980/26","1982/08","1984/07","1993/01","1990/29",""," "
"Extreme Snow Depth (cm)","113","122","117","75","2","0","0","0","0","22","43","80","",""
"Date (yyyy/dd)","1982/30","1982/13","1982/02","1982/01","2003/05","1981/01","1981/01","1980/01","1981/01","1992/17","1986/20","1990/31",""," "
"Days with Maximum Temperature"
"<= 0 °C","16.6","10.8","3.6","0.19","0.0","0.0","0.0","0.0","0.0","1.1","8.8","17.0","58.2","A"
"> 0 °C","14.4","17.4","27.4","29.8","31.0","30.0","31.0","31.0","30.0","29.9","21.2","14.0","307.1","A"
"> 10 °C","0.44","0.81","6.9","20.1","29.4","30.0","31.0","31.0","28.2","14.8","1.1","0.08","193.7","A"
"> 20 °C","0.0","0.0","0.0","1.5","9.2","15.2","22.7","21.2","7.7","0.56","0.0","0.0","78.0","A"
"> 30 °C","0.0","0.0","0.0","0.0","0.23","0.73","1.9","1.2","0.15","0.0","0.0","0.0","4.2","A"
"> 35 °C","0.0","0.0","0.0","0.0","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.04","A"
"Days with Minimum Temperature"
"> 0 °C","2.4","2.6","3.8","11.3","26.3","29.9","31.0","30.9","26.7","17.0","5.5","2.3","189.7","C"
"<= 2 °C","30.3","26.9","29.9","24.1","9.2","0.62","0.0","0.44","7.2","20.3","28.0","30.4","207.4","C"
"<= 0 °C","28.7","25.6","27.2","18.7","4.8","0.08","0.0","0.08","3.3","14.0","24.5","28.7","175.5","C"
"< -2 °C","24.5","21.0","19.7","9.3","0.88","0.0","0.0","0.0","0.88","6.1","17.8","24.9","124.9","C"
"< -10 °C","12.7","9.2","4.5","0.31","0.0","0.0","0.0","0.0","0.0","0.58","4.8","11.9","44.0","C"
"< -20 °C","5.5","2.4","0.81","0.0","0.0","0.0","0.0","0.0","0.0","0.04","1.4","3.0","13.3","C"
"< - 30 °C","1.8","0.22","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.28","0.73","3.0","C"
"Days with Rainfall"
">= 0.2 mm","3.9","4.2","7.2","10.2","12.8","15.3","13.9","12.1","13.2","14.7","7.7","3.4","118.4","A"
">= 5 mm","0.74","0.41","0.58","2.0","3.2","4.2","4.0","3.2","4.1","4.0","1.8","0.46","28.5","A"
">= 10 mm","0.19","0.04","0.15","0.54","0.81","1.5","1.6","1.0","1.3","1.4","0.46","0.08","8.9","A"
">= 25 mm","0.0","0.0","0.0","0.0","0.0","0.12","0.15","0.04","0.15","0.08","0.0","0.0","0.54","A"
"Days With Snowfall"
">= 0.2 cm","11.8","6.9","5.0","1.5","0.31","0.0","0.0","0.0","0.08","1.7","8.2","10.1","45.4","A"
">= 5 cm","3.1","1.2","0.69","0.12","0.0","0.0","0.0","0.0","0.0","0.19","1.4","2.7","9.4","A"
">= 10 cm","0.85","0.41","0.15","0.04","0.0","0.0","0.0","0.0","0.0","0.12","0.27","0.96","2.8","A"
">= 25 cm","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.04","A"
"Days with Precipitation"
">= 0.2 mm","14.5","10.4","10.7","10.9","12.9","15.3","13.9","12.1","13.2","15.5","14.2","12.5","156.0","A"
">= 5 mm","4.1","1.6","1.6","2.2","3.2","4.2","4.0","3.2","4.1","4.3","3.3","3.2","38.8","A"
">= 10 mm","1.1","0.44","0.31","0.58","0.81","1.5","1.6","1.0","1.3","1.5","0.81","1.1","12.0","A"
">= 25 mm","0.0","0.0","0.0","0.0","0.0","0.12","0.15","0.04","0.15","0.08","0.0","0.04","0.58","A"
"Degree Days"
"Above 24 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.0","0.0","0.0","0.0","0.0","0.1","C"
"Above 18 °C","0.0","0.0","0.0","0.0","1.4","6.0","15.1","14.8","0.8","0.0","0.0","0.0","38.1","C"
"Above 15 °C","0.0","0.0","0.0","0.1","8.2","30.2","59.6","53.2","7.2","0.2","0.0","0.0","158.8","C"
"Above 10 °C","0.0","0.0","0.0","6.3","62.5","138.1","201.0","186.1","62.8","6.9","0.0","0.0","663.8","C"
"Above 5 °C","1.4","1.8","6.8","54.9","188.4","287.1","356.0","340.6","186.8","53.2","3.5","0.7","1481.0","C"
"Above 0 °C","20.0","29.2","73.7","180.6","341.7","437.1","511.0","495.6","335.4","172.8","41.2","17.2","2655.5","C"
"Below 0 °C","231.7","134.9","49.0","3.4","0.1","0.0","0.0","0.0","0.0","10.3","89.9","197.2","716.4","C"
"Below 5 °C","368.0","248.6","137.1","27.7","1.8","0.0","0.0","0.0","1.4","45.6","202.3","335.6","1368.1","C"
"Below 10 °C","521.7","388.0","285.4","129.1","30.9","1.0","0.0","0.5","27.4","154.3","348.8","490.0","2377.1","C"
"Below 15 °C","676.7","529.1","440.3","273.0","131.6","43.2","13.6","22.6","121.8","302.7","498.7","645.0","3698.2","C"
"Below 18 °C","769.7","613.8","533.3","362.8","217.8","108.9","62.1","77.2","205.4","395.5","588.7","738.0","4673.2","C"

"1981 to 2010 Canadian Climate Normals station data (Frost-Free)"
