"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-121.63","55.69","CHETWYND A","1181508","2020-01-01","2020","01","01","†","2.0","","-10.0","","-4.0","","22.0","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2020-01-02","2020","01","02","†","-1.5","","-4.5","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2020-01-03","2020","01","03","†","-8.0","","-10.0","","-9.0","","27.0","","0.0","","0.0","","20.0","","11.8","","2","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2020-01-04","2020","01","04","†","-1.0","","-14.5","","-7.8","","25.8","","0.0","","0.0","","0.0","","0.0","","19","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2020-01-05","2020","01","05","†","0.5","","-24.0","","-11.8","","29.8","","0.0","","0.0","","0.0","T","0.0","","15","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2020-01-06","2020","01","06","†","-16.0","","-27.5","","-21.8","","39.8","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2020-01-07","2020","01","07","†","-19.0","","-29.5","","-24.3","","42.3","","0.0","","0.0","","5.2","","3.0","","13","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2020-01-08","2020","01","08","†","-18.0","","-20.5","","-19.3","","37.3","","0.0","","0.0","","2.0","","0.8","","16","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2020-01-09","2020","01","09","†","-21.5","","-24.0","","-22.8","","40.8","","0.0","","0.0","","1.8","","0.8","","17","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2020-01-10","2020","01","10","†","-23.0","","-24.0","","-23.5","","41.5","","0.0","","0.0","","6.4","","3.4","","17","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2020-01-11","2020","01","11","†","-23.0","","-24.5","","-23.8","","41.8","","0.0","","0.0","","3.4","","2.0","","22","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2020-01-12","2020","01","12","†","-26.0","","-36.5","","-31.3","","49.3","","0.0","","0.0","","0.8","","0.2","","24","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2020-01-13","2020","01","13","†","-28.0","","-38.0","","-33.0","","51.0","","0.0","","0.0","","1.4","","0.4","","24","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2020-01-14","2020","01","14","†","-27.5","","-34.5","","-31.0","","49.0","","0.0","","0.0","","2.2","","0.8","","25","","","","",""
