"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"CHETWYND A","BC"," 55°41'14.000"" N","121°37'36.000"" W","609.6 m","1181508","","YCQ"

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","-10.2","-7.2","-2.9","4.6","9.5","13.4","15.4","14.5","9.9","4.1","-5.5","-9.1","3.0","C"
"Standard Deviation","4.9","4.0","4.0","1.5","1.7","1.1","0.9","1.0","1.8","1.6","4.4","4.8","3.3","C"
"Daily Maximum (°C)","-5.0","-1.4","2.9","11.2","16.6","20.1","22.2","21.6","16.3","9.4","-1.1","-4.1","9.1","C"
"Daily Minimum (°C)","-15.3","-12.9","-8.7","-2.1","2.4","6.6","8.5","7.4","3.5","-1.3","-10.0","-14.1","-3.0","C"
"Extreme Maximum (°C)","15.7","14.8","22.4","26.1","33.4","31.0","32.7","33.8","30.8","27.0","14.8","13.2","",""
"Date (yyyy/dd)","2003/05","1986/27","2004/29","1984/15","1983/29","1990/22","1987/23","1991/15","2006/03","2003/04","2005/22","2004/18",""," "
"Extreme Minimum (°C)","-52.0","-42.1","-38.6","-27.6","-9.8","-2.7","-1.8","-6.6","-8.5","-28.2","-42.0","-46.3","",""
"Date (yyyy/dd)","1997/25","1986/19","2003/09","2002/02","2002/03","1991/02","1999/16","1992/23","1984/23","1984/31","1985/26","1992/29",""," "
"Precipitation"
"Rainfall (mm)","0.9","0.5","1.3","10.3","32.5","75.7","76.9","51.4","38.0","14.0","3.8","1.2","306.4","C"
"Snowfall (cm)","27.3","22.7","28.5","11.6","5.2","0.0","0.0","0.0","3.4","19.2","35.4","24.1","177.4","C"
"Precipitation (mm)","21.1","16.2","21.9","20.4","37.2","75.7","76.9","51.4","41.2","29.1","30.6","19.1","440.6","C"
"Average Snow Depth (cm)","17","18","12","1","0","0","0","0","0","1","8","13","6","C"
"Median Snow Depth (cm)","17","18","11","0","0","0","0","0","0","0","8","12","5","C"
"Snow Depth at Month-end (cm)","17","15","4","0","0","0","0","0","0","3","12","15","5","C"
"Extreme Daily Rainfall (mm)","5.2","1.8","4.0","15.6","18.6","52.8","64.4","36.3","32.6","17.4","11.0","3.6","",""
"Date (yyyy/dd)","1995/31","1986/27","2003/31","1988/18","1990/25","1983/24","1987/31","1994/05","1985/12","1984/07","1995/17","1990/03",""," "
"Extreme Daily Snowfall (cm)","14.0","15.0","22.0","21.8","19.6","0.0","0.0","0.0","8.2","34.3","25.0","20.2","",""
"Date (yyyy/dd)","1990/25","1999/02","2005/20","1993/04","1986/13","1983/01","1983/01","1983/01","2004/17","1986/27","1996/09","1991/10",""," "
"Extreme Daily Precipitation (mm)","10.2","11.6","14.2","20.9","19.6","52.8","64.4","36.3","32.6","27.0","18.0","11.6","",""
"Date (yyyy/dd)","1988/27","1999/02","1987/03","1986/16","1986/13","1983/24","1987/31","1994/05","1985/12","1986/27","1991/16","1991/03",""," "
"Extreme Snow Depth (cm)","58","67","58","23","20","0","0","0","7","24","47","63","",""
"Date (yyyy/dd)","1997/28","1994/22","1994/01","2002/06","1986/14","1983/01","1983/01","1983/01","2004/18","2006/29","1995/30","2006/16",""," "
"Days with Maximum Temperature"
"<= 0 °C","18.5","13.2","9.7","1.3","0.13","0.0","0.0","0.0","0.0","2.5","13.5","18.2","77.0","C"
"> 0 °C","12.5","15.0","21.3","28.8","30.9","30.0","31.0","31.0","30.0","28.5","16.5","12.8","288.3","C"
"> 10 °C","0.48","0.96","4.8","18.9","27.8","29.6","30.9","30.6","25.9","15.0","1.1","0.29","186.2","C"
"> 20 °C","0.0","0.0","0.08","1.3","8.2","16.1","21.9","20.0","7.5","1.3","0.0","0.0","76.4","C"
"> 30 °C","0.0","0.0","0.0","0.0","0.13","0.26","1.1","0.63","0.09","0.0","0.0","0.0","2.2","C"
"> 35 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","C"
"Days with Minimum Temperature"
"> 0 °C","1.2","1.6","2.7","7.9","22.1","29.3","30.9","30.5","23.9","12.2","2.3","2.0","166.5","C"
"<= 2 °C","30.5","27.6","30.0","26.3","15.0","2.6","0.59","2.0","11.1","22.9","28.8","29.9","227.2","C"
"<= 0 °C","29.8","26.7","28.3","22.1","8.9","0.74","0.09","0.54","6.1","18.8","27.7","29.0","198.7","C"
"< -2 °C","28.1","25.1","24.6","14.0","3.7","0.04","0.0","0.13","2.4","12.7","25.0","27.6","163.4","C"
"< -10 °C","19.9","15.9","10.1","1.4","0.0","0.0","0.0","0.0","0.0","1.6","13.0","19.4","81.3","C"
"< -20 °C","9.8","6.4","3.8","0.08","0.0","0.0","0.0","0.0","0.0","0.26","4.0","8.9","33.3","C"
"< - 30 °C","3.0","1.4","0.58","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.71","2.1","7.8","C"
"Days with Rainfall"
">= 0.2 mm","0.92","0.60","1.2","5.4","10.4","13.2","13.9","12.5","12.0","6.7","2.3","0.92","79.9","C"
">= 5 mm","0.04","0.0","0.0","0.33","2.0","4.7","4.5","3.1","2.3","0.67","0.17","0.0","17.8","C"
">= 10 mm","0.0","0.0","0.0","0.13","0.96","2.2","2.3","1.8","1.1","0.17","0.04","0.0","8.7","C"
">= 25 mm","0.0","0.0","0.0","0.0","0.0","0.57","0.55","0.17","0.09","0.0","0.0","0.0","1.4","C"
"Days With Snowfall"
">= 0.2 cm","9.2","8.2","9.2","4.2","1.5","0.0","0.0","0.0","1.1","5.1","10.3","8.3","57.1","C"
">= 5 cm","2.0","1.5","1.9","0.79","0.38","0.0","0.0","0.0","0.22","1.3","2.2","1.5","11.8","C"
">= 10 cm","0.56","0.40","0.58","0.08","0.08","0.0","0.0","0.0","0.0","0.46","0.63","0.29","3.1","C"
">= 25 cm","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.04","0.0","0.08","C"
"Days with Precipitation"
">= 0.2 mm","9.6","8.3","9.9","8.3","11.2","13.2","13.9","12.5","12.4","10.5","11.6","9.0","130.3","C"
