"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-124.02","54.03","VANDERHOOF","1098D90","2019-01-01","2019","01","01","†","5.5","","-5.5","","0.0","","18.0","","0.0","","0.0","T","0.0","","0.0","T","35","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2019-01-02","2019","01","02","†","5.0","","-2.0","","1.5","","16.5","","0.0","","1.4","","0.0","","1.4","","33","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2019-01-03","2019","01","03","†","-1.5","","-3.0","","-2.3","","20.3","","0.0","","0.0","","0.8","","0.8","","32","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2019-01-04","2019","01","04","†","-2.0","","-5.0","","-3.5","","21.5","","0.0","","0.0","","0.2","","0.2","","33","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2019-01-05","2019","01","05","†","-3.0","","-8.5","","-5.8","","23.8","","0.0","","0.0","","0.2","","0.2","","34","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2019-01-06","2019","01","06","†","-3.0","","-7.0","","-5.0","","23.0","","0.0","","0.0","","5.6","","5.6","","33","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2019-01-07","2019","01","07","†","-8.5","","-17.0","","-12.8","","30.8","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2019-01-08","2019","01","08","†","-8.0","","-25.0","","-16.5","","34.5","","0.0","","0.0","","7.4","","7.4","","38","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2019-01-09","2019","01","09","†","-5.0","","-10.0","","-7.5","","25.5","","0.0","","0.0","","1.4","","1.4","","44","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2019-01-10","2019","01","10","†","4.0","","-9.5","","-2.8","","20.8","","0.0","","0.0","","0.0","","0.0","","42","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2019-01-11","2019","01","11","†","5.0","","-5.0","","0.0","","18.0","","0.0","","0.8","","0.0","","0.8","","39","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2019-01-12","2019","01","12","†","4.0","","1.5","","2.8","","15.2","","0.0","","2.4","","0.0","","2.4","","33","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2019-01-13","2019","01","13","†","0.5","","-3.0","","-1.3","","19.3","","0.0","","0.0","","0.0","","0.0","","29","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2019-01-14","2019","01","14","†","-2.0","","-5.5","","-3.8","","21.8","","0.0","","0.0","","0.0","","0.0","","29","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2019-01-15","2019","01","15","","","","","","","","","","","","","","","","","","","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2019-01-16","2019","01","16","†","-6.0","","-7.0","","-6.5","","24.5","","0.0","","0.0","","0.0","","0.0","","29","","","","",""
"-124.02","54.03","VANDERHOOF","1098D90","2019-01-17","2019","01","17","†","-8.0","","-15.0","","-11.5","","29.5","","0.0","","0.0","","0.0","","0.0","","29","","","","",""
