date,precipitation_mm,temp_high_C,temp_avg_C,temp_low_C,wind_high_kmh,wind_avg_kmh,wind_low_kmh
2020-07-01,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-07-02,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-07-03,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-07-04,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-07-05,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-07-06,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-07-07,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-07-08,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-07-09,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-07-10,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-07-11,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-07-12,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-07-13,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-07-14,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-07-15,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-07-16,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-07-17,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-07-18,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-07-19,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-07-20,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-07-21,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-07-22,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-07-23,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-07-24,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-07-25,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-07-26,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-07-27,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-07-28,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-07-29,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-07-30,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-07-31,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-08-01,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-08-02,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-08-03,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-08-04,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-08-05,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-08-06,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-08-07,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-08-08,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-08-09,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-08-10,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-08-11,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-08-12,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-08-13,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-08-14,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-08-15,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-08-16,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-08-17,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-08-18,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-08-19,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-08-20,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-08-21,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-08-22,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-08-23,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-08-24,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-08-25,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-08-26,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-08-27,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-08-28,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-08-29,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-08-30,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-08-31,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-09-01,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-09-02,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-09-03,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-09-04,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-09-05,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-09-06,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-09-07,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-09-08,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-09-09,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-09-10,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-09-11,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-09-12,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-09-13,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-09-14,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-09-15,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-09-16,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-09-17,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-09-18,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-09-19,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-09-20,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-09-21,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-09-22,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-09-23,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-09-24,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-09-25,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-09-26,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-09-27,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-09-28,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-09-29,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-09-30,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-01,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-02,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-03,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-04,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-05,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-06,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-07,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-08,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-09,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-10,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-11,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-12,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-13,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
