index,stationID,tz,obsTimeUtc,obsTimeLocal,epoch,lat,lon,solarRadiationHigh,uvHigh,winddirAvg,humidityHigh,humidityLow,humidityAvg,qcStatus,metric.tempHigh,metric.tempLow,metric.tempAvg,metric.windspeedHigh,metric.windspeedLow,metric.windspeedAvg,metric.windgustHigh,metric.windgustLow,metric.windgustAvg,metric.dewptHigh,metric.dewptLow,metric.dewptAvg,metric.windchillHigh,metric.windchillLow,metric.windchillAvg,metric.heatindexHigh,metric.heatindexLow,metric.heatindexAvg,metric.pressureMax,metric.pressureMin,metric.pressureTrend,metric.precipRate,metric.precipTotal,station_name
2022-07-11 08:00:00,IREGIO82,America/Vancouver,2022-07-11T15:03:18Z,2022-07-11 08:03:18,1657551798,54.776903,-122.49792,290.18,2.0,42,81,80,80,-1,15,15,15,4,2,3,4,2,3,12,12,12,15,15,15,15,15,15,930.31,930.14,-1.97,0.0,1.3,SAEG_Parsnip
2022-07-11 07:00:00,IREGIO82,America/Vancouver,2022-07-11T13:59:45Z,2022-07-11 06:59:45,1657547985,54.776903,-122.49792,92.36,0.0,80,96,91,93,-1,13,12,12,6,0,2,7,0,3,12,11,11,13,12,12,13,12,12,930.72,930.24,0.31,0.0,1.3,SAEG_Parsnip
2022-07-11 06:00:00,IREGIO82,America/Vancouver,2022-07-11T12:59:49Z,2022-07-11 05:59:49,1657544389,54.776903,-122.49792,28.14,0.0,128,97,94,95,-1,12,11,12,4,0,1,5,0,1,12,11,11,12,11,12,12,11,12,930.51,929.94,0.19,0.0,1.3,SAEG_Parsnip
2022-07-11 05:00:00,IREGIO82,America/Vancouver,2022-07-11T11:57:18Z,2022-07-11 04:57:18,1657540638,54.776903,-122.49792,2.94,0.0,56,95,89,91,-1,13,12,13,11,0,3,13,0,5,12,11,11,13,12,13,13,12,13,930.24,929.73,-0.21,1.8,1.3,SAEG_Parsnip
2022-07-11 04:00:00,IREGIO82,America/Vancouver,2022-07-11T10:59:57Z,2022-07-11 03:59:57,1657537197,54.776903,-122.49792,0.0,0.0,78,95,87,90,-1,13,12,13,7,0,3,9,0,4,12,11,11,13,12,13,13,12,13,930.24,929.53,0.2,0.0,0.99,SAEG_Parsnip
2022-07-11 03:00:00,IREGIO82,America/Vancouver,2022-07-11T09:59:30Z,2022-07-11 02:59:30,1657533570,54.776903,-122.49792,0.0,0.0,91,97,90,95,-1,13,12,12,5,0,1,5,0,2,12,11,11,13,12,12,13,12,12,929.94,929.53,0.1,0.0,0.99,SAEG_Parsnip
2022-07-11 02:00:00,IREGIO82,America/Vancouver,2022-07-11T08:59:34Z,2022-07-11 01:59:34,1657529974,54.776903,-122.49792,0.0,0.0,103,96,88,94,-1,13,12,12,3,0,1,4,0,1,12,11,11,13,12,12,13,12,12,929.83,929.43,0.31,3.0,0.99,SAEG_Parsnip
2022-07-11 01:00:00,IREGIO82,America/Vancouver,2022-07-11T07:59:38Z,2022-07-11 00:59:38,1657526378,54.776903,-122.49792,0.0,0.0,89,87,80,82,-1,14,13,14,12,2,6,15,4,8,11,10,11,14,13,14,14,13,14,929.53,929.12,0.35,1.8,0.3,SAEG_Parsnip
2022-07-10 23:00:00,IREGIO82,America/Vancouver,2022-07-11T05:59:46Z,2022-07-10 22:59:46,1657519186,54.776903,-122.49792,0.0,0.0,84,83,79,80,-1,14,14,14,11,3,6,17,4,8,11,11,11,14,14,14,14,14,14,929.94,929.33,-0.31,0.0,0.0,SAEG_Parsnip
2022-07-10 22:00:00,IREGIO82,America/Vancouver,2022-07-11T04:59:50Z,2022-07-10 21:59:50,1657515590,54.776903,-122.49792,14.68,0.0,81,81,79,79,-1,14,14,14,14,3,8,20,4,11,11,11,11,14,14,14,14,14,14,930.04,929.53,0.21,0.0,0.0,SAEG_Parsnip
2022-07-10 21:00:00,IREGIO82,America/Vancouver,2022-07-11T03:53:42Z,2022-07-10 20:53:42,1657511622,54.776903,-122.49792,47.71,0.0,81,82,75,78,-1,15,14,15,15,3,8,18,5,11,12,11,11,15,14,15,15,14,15,930.24,929.63,0.0,0.0,0.0,SAEG_Parsnip
2022-07-10 20:00:00,IREGIO82,America/Vancouver,2022-07-11T02:59:58Z,2022-07-10 19:59:58,1657508398,54.776903,-122.49792,111.82,1.0,82,77,69,73,-1,16,15,15,12,1,7,18,2,9,11,10,11,16,15,15,16,15,15,930.24,929.53,-0.31,0.0,0.0,SAEG_Parsnip
2022-07-10 19:00:00,IREGIO82,America/Vancouver,2022-07-11T01:59:31Z,2022-07-10 18:59:31,1657504771,54.776903,-122.49792,158.3,1.0,81,70,64,66,-1,16,16,16,10,0,5,15,0,6,10,9,10,16,16,16,16,16,16,930.24,929.83,-0.31,0.0,0.0,SAEG_Parsnip
2022-07-10 18:00:00,IREGIO82,America/Vancouver,2022-07-11T00:59:35Z,2022-07-10 17:59:35,1657501175,54.776903,-122.49792,224.61,2.0,198,66,62,64,-1,17,16,16,18,0,6,28,0,8,10,9,9,17,16,16,17,16,16,930.31,929.94,0.0,0.0,0.0,SAEG_Parsnip
2022-07-10 17:00:00,IREGIO82,America/Vancouver,2022-07-10T23:59:39Z,2022-07-10 16:59:39,1657497579,54.776903,-122.49792,369.57,3.0,164,67,62,64,-1,18,17,17,16,0,6,24,2,8,11,10,10,18,17,17,18,17,17,930.31,929.83,0.0,0.0,0.0,SAEG_Parsnip
2022-07-10 16:00:00,IREGIO82,America/Vancouver,2022-07-10T22:56:06Z,2022-07-10 15:56:06,1657493766,54.776903,-122.49792,472.83,4.0,155,66,60,62,-1,17,16,17,21,0,7,26,0,10,11,9,10,17,16,17,17,16,17,930.24,929.63,0.22,0.0,0.0,SAEG_Parsnip
2022-07-10 15:00:00,IREGIO82,America/Vancouver,2022-07-10T21:59:47Z,2022-07-10 14:59:47,1657490387,54.776903,-122.49792,377.77,3.0,123,74,52,64,-1,18,15,17,17,0,8,24,2,12,11,8,10,18,15,17,18,15,17,930.31,929.53,0.31,0.0,0.0,SAEG_Parsnip
2022-07-10 14:00:00,IREGIO82,America/Vancouver,2022-07-10T20:59:51Z,2022-07-10 13:59:51,1657486791,54.776903,-122.49792,380.83,3.0,194,55,51,53,-1,19,18,18,20,1,7,26,2,9,9,8,9,19,18,18,19,18,18,929.83,929.12,0.31,0.0,0.0,SAEG_Parsnip
2022-07-10 13:00:00,IREGIO82,America/Vancouver,2022-07-10T19:59:55Z,2022-07-10 12:59:55,1657483195,54.776903,-122.49792,749.19,7.0,122,57,50,54,-1,19,18,18,18,1,8,26,2,11,10,8,9,19,18,18,19,18,18,929.43,929.02,0.0,0.0,0.0,SAEG_Parsnip
2022-07-10 12:00:00,IREGIO82,America/Vancouver,2022-07-10T18:59:59Z,2022-07-10 11:59:59,1657479599,54.776903,-122.49792,841.06,8.0,148,58,53,56,-1,19,17,18,18,1,8,24,2,11,10,8,9,19,17,18,19,17,18,929.53,929.12,-0.11,0.0,0.0,SAEG_Parsnip
2022-07-10 11:00:00,IREGIO82,America/Vancouver,2022-07-10T17:57:59Z,2022-07-10 10:57:59,1657475879,54.776903,-122.49792,954.71,9.0,120,62,55,57,-1,18,17,17,18,1,8,26,2,11,10,8,9,18,17,17,18,17,17,929.73,929.23,0.0,0.0,0.0,SAEG_Parsnip
